# The original VP cen file 
# All units in arcseconds
fib_id,RA,DEC,fiberd,fibersep
1,-46.4293,49.488,4.2,6.8
2,-39.2864,49.488,4.2,6.8
3,-32.1434,49.488,4.2,6.8
4,-25.0004,49.488,4.2,6.8
5,-17.8574,49.488,4.2,6.8
6,-10.7145,49.488,4.2,6.8
7,-3.5714900000000003,49.488,4.2,6.8
8,3.5714900000000003,49.488,4.2,6.8
9,10.7145,49.488,4.2,6.8
10,17.8574,49.488,4.2,6.8
11,25.0004,49.488,4.2,6.8
12,32.1434,49.488,4.2,6.8
13,39.2864,49.488,4.2,6.8
14,46.4293,49.488,4.2,6.8
15,-50.0008,43.302,4.2,6.8
16,-42.8579,43.302,4.2,6.8
17,-35.7149,43.302,4.2,6.8
18,-28.5719,43.302,4.2,6.8
19,-21.4289,43.302,4.2,6.8
20,-14.286,43.302,4.2,6.8
21,-7.1429800000000006,43.302,4.2,6.8
22,0.0,43.302,4.2,6.8
23,7.1429800000000006,43.302,4.2,6.8
24,14.286,43.302,4.2,6.8
25,21.4289,43.302,4.2,6.8
26,28.5719,43.302,4.2,6.8
27,35.7149,43.302,4.2,6.8
28,42.8579,43.302,4.2,6.8
29,50.0008,43.302,4.2,6.8
30,-46.4293,37.116,4.2,6.8
31,-39.2864,37.116,4.2,6.8
32,-32.1434,37.116,4.2,6.8
33,-25.0004,37.116,4.2,6.8
34,-17.8574,37.116,4.2,6.8
35,-10.7145,37.116,4.2,6.8
36,-3.5714900000000003,37.116,4.2,6.8
37,3.5714900000000003,37.116,4.2,6.8
38,10.7145,37.116,4.2,6.8
39,17.8574,37.116,4.2,6.8
40,25.0004,37.116,4.2,6.8
41,32.1434,37.116,4.2,6.8
42,39.2864,37.116,4.2,6.8
43,46.4293,37.116,4.2,6.8
44,-50.0008,30.93,4.2,6.8
45,-42.8579,30.93,4.2,6.8
46,-35.7149,30.93,4.2,6.8
47,-28.5719,30.93,4.2,6.8
48,-21.4289,30.93,4.2,6.8
49,-14.286,30.93,4.2,6.8
50,-7.1429800000000006,30.93,4.2,6.8
51,0.0,30.93,4.2,6.8
52,7.1429800000000006,30.93,4.2,6.8
53,14.286,30.93,4.2,6.8
54,21.4289,30.93,4.2,6.8
55,28.5719,30.93,4.2,6.8
56,35.7149,30.93,4.2,6.8
57,42.8579,30.93,4.2,6.8
58,50.0008,30.93,4.2,6.8
59,-46.4293,24.744,4.2,6.8
60,-39.2864,24.744,4.2,6.8
61,-32.1434,24.744,4.2,6.8
62,-25.0004,24.744,4.2,6.8
63,-17.8574,24.744,4.2,6.8
64,-10.7145,24.744,4.2,6.8
65,-3.5714900000000003,24.744,4.2,6.8
66,3.5714900000000003,24.744,4.2,6.8
67,10.7145,24.744,4.2,6.8
68,17.8574,24.744,4.2,6.8
69,25.0004,24.744,4.2,6.8
70,32.1434,24.744,4.2,6.8
71,39.2864,24.744,4.2,6.8
72,46.4293,24.744,4.2,6.8
73,-50.0008,18.558,4.2,6.8
74,-42.8579,18.558,4.2,6.8
75,-35.7149,18.558,4.2,6.8
76,-28.5719,18.558,4.2,6.8
77,-21.4289,18.558,4.2,6.8
78,-14.286,18.558,4.2,6.8
79,-7.1429800000000006,18.558,4.2,6.8
80,0.0,18.558,4.2,6.8
81,7.1429800000000006,18.558,4.2,6.8
82,14.286,18.558,4.2,6.8
83,21.4289,18.558,4.2,6.8
84,28.5719,18.558,4.2,6.8
85,35.7149,18.558,4.2,6.8
86,42.8579,18.558,4.2,6.8
87,50.0008,18.558,4.2,6.8
88,-46.4293,12.372,4.2,6.8
89,-39.2864,12.372,4.2,6.8
